transaction_id,listing_id,client_id,empl_id,transaction_amount,transaction_commission,transaction_date,transaction_type,client_role
59,137,183,43,946643.97,28399.32,2024-06-09,sale,buyer
60,30,124,12,6828.08,546.25,2024-06-09,rental,renter
61,149,161,54,13341.14,1067.29,2024-06-10,rental,renter
62,51,12,2,1260616.88,37818.51,2024-06-10,sale,seller
63,114,5,55,3896.96,311.76,2024-06-11,rental,owner
64,153,64,34,11982.55,958.6,2024-06-12,rental,renter
65,110,63,14,5379.76,430.38,2024-06-12,rental,renter
66,108,61,23,1495974.43,44879.23,2024-06-13,sale,buyer
67,140,11,15,926317.7,27789.53,2024-06-14,sale,seller
68,161,3,38,1130399,33911.97,2024-06-14,sale,buyer
69,161,65,18,3550717,106521.51,2024-06-14,sale,seller
70,4,60,49,6889.35,551.15,2024-06-17,rental,owner
71,143,189,45,3207.11,256.57,2024-06-18,rental,owner
72,161,22,54,1237114.89,37113.45,2024-06-19,sale,seller
73,55,146,37,3397.31,271.78,2024-06-19,rental,renter
74,128,101,44,3428.9,274.31,2024-06-20,rental,owner
75,41,122,24,555761.25,16672.84,2024-06-21,sale,buyer
76,46,69,24,1351492.38,40544.77,2024-06-23,sale,buyer
77,170,104,35,3686.24,294.9,2024-06-24,rental,owner
78,81,83,6,3021.23,241.7,2024-06-25,rental,renter
79,35,155,42,1768594.01,53057.82,2024-06-25,sale,seller
80,33,94,38,8239,659.12,2024-06-25,rental,renter
81,135,129,15,1158291.27,34748.74,2024-06-25,sale,seller
82,25,144,27,1305674.06,39170.22,2024-06-26,sale,seller
83,51,185,20,3561.45,284.92,2024-06-26,rental,owner
84,139,72,44,1643915.37,49317.46,2024-06-27,sale,seller
85,25,109,33,5527.24,442.18,2024-06-27,rental,owner
86,80,76,49,1034595.15,31037.85,2024-06-27,sale,seller
87,154,99,26,9644.79,771.58,2024-06-28,rental,renter
88,67,200,50,3227.9,258.23,2024-06-29,rental,renter
89,142,177,55,5368.06,429.44,2024-06-29,rental,renter
90,50,46,42,851137.01,25534.11,2024-06-29,sale,seller
91,33,37,54,1647418.8,49422.56,2024-06-29,sale,buyer
92,89,124,30,5774.33,461.95,2024-06-29,rental,renter
93,93,54,31,4418.89,353.51,2024-06-30,rental,renter
94,24,81,7,3976.24,318.1,2024-07-01,rental,renter
95,32,107,50,6919.79,553.58,2024-07-02,rental,renter
96,99,109,17,1011485.33,30344.56,2024-07-03,sale,buyer
97,69,123,38,1060682.22,31820.47,2024-07-05,sale,buyer
98,59,195,44,895697.65,26870.93,2024-07-06,sale,seller
99,130,18,14,3931.4,314.51,2024-07-06,rental,renter
100,13,111,14,1933296.85,57998.91,2024-07-07,sale,buyer
101,155,68,25,1200854.6,36025.64,2024-07-07,sale,seller
102,113,139,36,3573.63,285.89,2024-07-08,rental,renter
103,48,56,8,1236201.37,37086.04,2024-07-08,sale,seller
104,109,76,50,4777.27,382.18,2024-07-08,rental,renter
105,43,100,8,1681455.96,50443.68,2024-07-09,sale,seller
106,83,62,21,5169.3,413.54,2024-07-09,rental,renter
107,177,22,21,4607.94,368.64,2024-07-09,rental,renter
108,165,126,47,3891.61,311.33,2024-07-09,rental,owner
109,80,64,1,3877.13,310.17,2024-07-12,rental,renter
110,48,47,18,6285.44,502.84,2024-07-12,rental,owner
111,74,26,45,1469519.32,44085.58,2024-07-12,sale,buyer
112,167,165,49,4743.47,379.48,2024-07-13,rental,owner
113,140,29,34,3080.72,246.46,2024-07-16,rental,renter
114,75,137,54,966824.6,29004.74,2024-07-16,sale,seller
115,149,33,57,6289.29,503.14,2024-07-16,rental,renter
116,97,94,23,3140.67,251.25,2024-07-17,rental,renter
117,86,58,32,1460517.24,43815.52,2024-07-17,sale,buyer
118,35,6,43,1773686.66,53210.6,2024-07-17,sale,seller
119,170,101,1,1321236.57,39637.1,2024-07-17,sale,seller
120,2,175,22,1661076.61,49832.3,2024-07-18,sale,buyer
121,119,16,7,969114.21,29073.43,2024-07-18,sale,buyer
122,9,29,14,1900016.09,57000.48,2024-07-20,sale,seller
123,34,171,18,1858016.15,55740.48,2024-07-20,sale,seller
124,72,73,26,5590.1,447.21,2024-07-20,rental,renter
125,28,51,44,1974507.63,59235.23,2024-07-20,sale,seller
126,116,176,52,1404555.52,42136.67,2024-07-21,sale,buyer
127,14,72,33,4752.68,380.21,2024-07-22,rental,renter
128,32,162,31,4964.56,397.16,2024-07-23,rental,owner
129,131,30,58,4808.26,384.66,2024-07-23,rental,owner
130,123,21,46,1197031.17,35910.94,2024-07-24,sale,buyer
131,133,52,33,4414.89,353.19,2024-07-24,rental,owner
132,121,168,17,1176044.27,35281.33,2024-07-26,sale,seller
133,20,185,33,1799603.35,53988.1,2024-07-27,sale,buyer
134,58,53,33,1054686.77,31640.6,2024-07-27,sale,seller
135,132,15,26,5854.96,468.4,2024-07-28,rental,renter
136,72,157,14,5132.08,410.57,2024-07-28,rental,owner
137,175,118,35,1112307.43,33369.22,2024-07-30,sale,seller
138,20,88,39,8879.4,710.35,2024-07-31,rental,owner
139,116,20,42,1133694.17,34010.83,2024-07-31,sale,buyer
140,87,196,8,2942.34,235.39,2024-08-01,rental,owner
141,100,77,47,604666.55,18140,2024-08-02,sale,buyer
142,106,94,59,5188.37,415.07,2024-08-02,rental,renter
143,55,2,50,1373229.93,41196.9,2024-08-02,sale,seller
144,73,55,34,2800.67,224.05,2024-08-03,rental,renter
145,7,54,9,2060568.86,61817.07,2024-08-04,sale,seller
146,69,63,46,5912.52,473,2024-08-04,rental,renter
147,14,76,51,9240.85,739.27,2024-08-04,rental,renter
148,26,136,42,1107578.75,33227.36,2024-08-05,sale,buyer
149,96,40,19,800464.62,24013.94,2024-08-05,sale,seller
150,16,130,1,2460217.31,73806.52,2024-08-06,sale,seller
151,65,182,49,3374.5,269.96,2024-08-06,rental,owner
152,146,17,20,1088897.67,32666.93,2024-08-06,sale,buyer
153,25,143,21,935741.32,28072.24,2024-08-07,sale,buyer
154,30,38,38,5308.24,424.66,2024-08-07,rental,renter
155,83,87,39,4336.5,346.92,2024-08-07,rental,owner
156,152,67,36,1542654.61,46279.64,2024-08-07,sale,buyer
157,13,125,34,720652.79,21619.58,2024-08-08,sale,buyer
158,134,121,36,785324.44,23559.73,2024-08-08,sale,seller
159,119,183,23,4320.18,345.61,2024-08-09,rental,renter
160,92,153,41,3477.31,278.18,2024-08-09,rental,renter
161,164,77,27,649763.91,19492.92,2024-08-09,sale,seller
162,51,177,2,1749413.29,52482.4,2024-08-11,sale,buyer
163,42,137,20,1878261.92,56347.86,2024-08-12,sale,seller
164,146,185,51,2823166.66,84695,2024-08-13,sale,seller
165,168,117,8,4586.02,366.88,2024-08-13,rental,renter
166,45,128,42,6195,495.6,2024-08-14,rental,owner
167,177,104,58,2964.31,237.14,2024-08-15,rental,owner
168,122,189,14,4084.71,326.78,2024-08-15,rental,renter
169,93,122,6,951857.62,28555.73,2024-08-15,sale,seller
170,8,81,42,8172.38,653.79,2024-08-16,rental,renter
171,4,107,2,8114.53,649.16,2024-08-17,rental,owner
172,84,28,37,4017.18,321.37,2024-08-18,rental,owner
173,34,102,39,986248.18,29587.45,2024-08-18,sale,buyer
174,161,4,9,7624.64,609.97,2024-08-18,rental,renter
175,34,6,52,640408.81,19212.26,2024-08-19,sale,seller
176,123,156,5,4651.95,372.16,2024-08-20,rental,renter
177,21,172,26,6867.77,549.42,2024-08-20,rental,owner
178,37,46,38,5101.31,408.1,2024-08-22,rental,renter
179,180,162,26,5332.93,426.63,2024-08-22,rental,owner
180,26,16,5,8564.65,685.17,2024-08-22,rental,owner
181,119,177,19,1464909.5,43947.28,2024-08-23,sale,buyer
182,71,102,52,3851.23,308.1,2024-08-25,rental,renter
183,141,50,57,5278.82,422.31,2024-08-25,rental,renter
184,71,61,43,914732.77,27441.98,2024-08-25,sale,seller
185,95,119,6,600976.91,18029.31,2024-08-26,sale,buyer
186,153,166,18,3333596.23,100007.89,2024-08-26,sale,seller
187,19,52,30,843566.2,25306.99,2024-08-27,sale,buyer
188,74,130,58,3568.91,285.51,2024-08-27,rental,owner
189,29,143,16,8231.89,658.55,2024-08-27,rental,owner
190,117,96,46,1044246.09,31327.38,2024-08-28,sale,seller
191,6,94,6,967760.68,29032.82,2024-08-28,sale,buyer
192,155,159,40,1445897.28,43376.92,2024-08-29,sale,buyer
193,100,129,16,954185.66,28625.57,2024-08-30,sale,seller
194,28,23,47,6928.57,554.29,2024-08-31,rental,renter
195,14,191,27,10038.88,803.11,2024-08-31,rental,owner
196,74,102,29,1328270.99,39848.13,2024-09-02,sale,seller
197,152,57,3,1700395.02,51011.85,2024-09-02,sale,seller
198,64,98,2,4025.1,322.01,2024-09-03,rental,renter
199,36,2,38,6312.03,504.96,2024-09-03,rental,owner
200,180,8,26,3585.38,286.83,2024-09-04,rental,owner
201,58,55,18,679317.04,20379.51,2024-09-04,sale,buyer
202,94,129,34,1074457.66,32233.73,2024-09-05,sale,seller
203,24,173,43,4257.52,340.6,2024-09-07,rental,renter
204,14,154,6,9917.09,793.37,2024-09-08,rental,owner
205,165,120,22,5402.99,432.24,2024-09-09,rental,owner
206,125,192,2,571416.85,17142.51,2024-09-13,sale,buyer
207,107,8,37,2534.97,202.8,2024-09-13,rental,owner
208,132,103,28,1471747.97,44152.44,2024-09-16,sale,seller
209,143,122,6,1400844.61,42025.34,2024-09-18,sale,buyer
210,111,80,30,1311460.89,39343.83,2024-09-19,sale,seller
211,68,59,1,1325043.89,39751.32,2024-09-19,sale,seller
212,53,2,58,7798.35,623.87,2024-09-21,rental,renter
213,19,157,15,6036.22,482.9,2024-09-21,rental,owner
214,167,176,35,3242.16,259.37,2024-09-22,rental,renter
215,59,51,4,920366.31,27610.99,2024-09-23,sale,seller
216,107,185,51,4831.65,386.53,2024-09-24,rental,owner
217,175,38,18,1045078.03,31352.34,2024-09-26,sale,seller
218,12,170,7,6816.09,545.29,2024-09-27,rental,renter
219,14,187,11,6419.32,513.55,2024-09-27,rental,owner
220,143,193,45,1730443.13,51913.29,2024-09-27,sale,buyer
221,20,15,38,1837600.13,55128,2024-09-29,sale,buyer
222,89,56,8,5512.57,441.01,2024-10-02,rental,renter
223,132,94,53,6208.57,496.69,2024-10-02,rental,owner
224,25,156,49,5369.19,429.54,2024-10-03,rental,renter
225,112,172,37,1172741.94,35182.26,2024-10-03,sale,buyer
226,69,80,22,1403272.27,42098.17,2024-10-04,sale,buyer
227,134,94,19,6572.35,525.79,2024-10-05,rental,renter
228,66,23,8,4341.01,347.28,2024-10-05,rental,renter
229,136,130,33,1203544.09,36106.32,2024-10-05,sale,seller
230,105,7,57,1171050.63,35131.52,2024-10-06,sale,seller
231,4,194,34,1063788.76,31913.66,2024-10-06,sale,seller
232,109,99,12,924305.22,27729.16,2024-10-08,sale,buyer
233,113,62,34,4226.9,338.15,2024-10-08,rental,renter
234,75,2,55,551301.52,16539.05,2024-10-08,sale,buyer
235,164,89,32,1382279.24,41468.38,2024-10-10,sale,buyer
236,78,144,26,4786.8,382.94,2024-10-10,rental,renter
237,67,196,12,4067.25,325.38,2024-10-11,rental,owner
238,102,154,12,548685.13,16460.55,2024-10-11,sale,seller
239,89,40,46,1221198.29,36635.95,2024-10-12,sale,seller
240,128,85,56,6318.77,505.5,2024-10-12,rental,renter
241,132,85,41,4958.71,396.7,2024-10-12,rental,renter
242,30,68,56,2127890.18,63836.71,2024-10-14,sale,buyer
243,135,4,43,4491.87,359.35,2024-10-15,rental,owner
244,33,3,50,8708.02,696.64,2024-10-17,rental,renter
245,52,157,9,4138.35,331.07,2024-10-17,rental,renter
246,28,154,55,7367.26,589.38,2024-10-18,rental,renter
247,67,96,9,556054.82,16681.64,2024-10-18,sale,buyer
248,20,125,38,2090821.59,62724.65,2024-10-18,sale,seller
249,110,6,11,1170445.27,35113.36,2024-10-18,sale,buyer
250,57,45,15,757738.33,22732.15,2024-10-19,sale,buyer
251,72,175,24,1206466.56,36194,2024-10-20,sale,seller
252,43,148,21,6479.08,518.33,2024-10-21,rental,renter
253,69,53,26,983819.71,29514.59,2024-10-21,sale,buyer
254,100,193,10,663550.43,19906.51,2024-10-24,sale,buyer
255,157,143,18,8025.7,642.06,2024-10-24,rental,renter
256,147,50,16,9954.19,796.34,2024-10-25,rental,owner
257,165,158,59,846240.86,25387.23,2024-10-27,sale,seller
258,66,73,15,1449849.48,43495.48,2024-10-28,sale,buyer
259,173,45,56,4026.51,322.12,2024-10-30,rental,owner
260,55,107,3,426302.11,12789.06,2024-10-31,sale,buyer
261,161,85,47,1174645.78,35239.37,2024-11-02,sale,buyer
262,69,63,36,5026.47,402.12,2024-11-02,rental,owner
263,3,179,57,2057472.27,61724.17,2024-11-03,sale,seller
264,169,126,49,750602.5,22518.08,2024-11-04,sale,buyer
265,154,70,55,13572.95,1085.84,2024-11-04,rental,owner
266,109,99,33,3637.42,290.99,2024-11-05,rental,renter
267,14,157,24,1573880.18,47216.41,2024-11-06,sale,seller
268,87,32,22,1062938.66,31888.16,2024-11-07,sale,seller
269,155,69,7,3470763.91,104122.92,2024-11-07,sale,seller
270,43,193,8,4622.84,369.83,2024-11-08,rental,owner
271,32,137,47,7775.21,622.02,2024-11-08,rental,owner
272,136,124,45,6851.7,548.14,2024-11-09,rental,owner
273,16,184,46,1976238.51,59287.16,2024-11-09,sale,buyer
274,39,123,17,560565.96,16816.98,2024-11-10,sale,seller
275,147,19,2,6663.62,533.09,2024-11-10,rental,renter
276,26,139,11,4340.57,347.25,2024-11-10,rental,owner
277,99,94,55,525837.15,15775.11,2024-11-11,sale,seller
278,161,60,47,12533.07,1002.65,2024-11-12,rental,renter
279,22,61,20,6366.3,509.3,2024-11-12,rental,renter
280,139,155,50,5430.27,434.42,2024-11-14,rental,owner
281,173,109,24,2552.61,204.21,2024-11-14,rental,renter
282,178,47,45,1134839.15,34045.17,2024-11-14,sale,buyer
283,153,10,10,6656.42,532.51,2024-11-15,rental,renter
284,148,38,3,6895.45,551.64,2024-11-16,rental,renter
285,63,107,13,5507.47,440.6,2024-11-17,rental,owner
286,163,105,22,1060336.38,31810.09,2024-11-17,sale,seller
287,96,107,9,642307.53,19269.23,2024-11-18,sale,seller
288,41,49,27,1142290.36,34268.71,2024-11-18,sale,buyer
289,24,9,41,1566783.57,47003.51,2024-11-19,sale,buyer
290,88,182,8,1264734.44,37942.03,2024-11-19,sale,buyer
291,69,161,38,4574.56,365.96,2024-11-19,rental,renter
292,160,69,1,2874398.01,86231.94,2024-11-20,sale,seller
293,82,98,51,1091285.22,32738.56,2024-11-21,sale,seller
294,111,125,18,1026626.64,30798.8,2024-11-22,sale,buyer
295,78,77,36,1127515.93,33825.48,2024-11-23,sale,seller
296,113,166,52,5307.39,424.59,2024-11-25,rental,owner
297,171,146,59,475456.07,14263.68,2024-11-25,sale,buyer
298,26,106,60,2246182.54,67385.48,2024-11-25,sale,buyer
299,46,189,31,819130.96,24573.93,2024-11-26,sale,seller
300,145,107,41,1419082.74,42572.48,2024-11-28,sale,buyer
301,139,72,2,5539.41,443.15,2024-11-29,rental,owner
302,124,11,4,4876.8,390.14,2024-11-30,rental,owner
303,1,119,43,9039.56,723.16,2024-11-30,rental,renter
304,87,58,41,4032.44,322.6,2024-11-30,rental,owner
305,7,65,8,7110.99,568.88,2024-11-30,rental,renter
306,133,59,23,611017.62,18330.53,2024-12-05,sale,buyer
307,43,133,58,7290.18,583.21,2024-12-05,rental,renter
308,5,174,40,8057.8,644.62,2024-12-06,rental,owner
309,155,18,12,9093.9,727.51,2024-12-10,rental,renter
310,27,47,50,1328017.33,39840.52,2024-12-10,sale,buyer
311,93,22,59,4184.96,334.8,2024-12-11,rental,renter
312,3,195,24,1379368.58,41381.06,2024-12-13,sale,seller
313,86,196,32,4000.74,320.06,2024-12-15,rental,owner
314,3,72,13,769556.96,23086.71,2024-12-16,sale,buyer
315,13,134,31,4637.04,370.96,2024-12-19,rental,owner
316,78,37,11,876734.69,26302.04,2024-12-19,sale,seller
317,73,73,58,5095.15,407.61,2024-12-21,rental,renter
318,15,165,57,7029.64,562.37,2024-12-22,rental,renter
319,162,170,26,8285.75,662.86,2024-12-22,rental,owner
320,70,5,25,2924.15,233.93,2024-12-23,rental,owner
321,144,80,27,6255,500.4,2024-12-24,rental,owner
322,3,58,19,4835.57,386.85,2024-12-24,rental,owner
323,8,100,26,1316907.78,39507.23,2024-12-25,sale,buyer
324,111,159,40,2963.34,237.07,2024-12-25,rental,renter
325,25,139,44,1154465.7,34633.97,2024-12-27,sale,buyer
326,168,33,25,2715.72,217.26,2024-12-30,rental,renter
327,130,122,14,6465.79,517.26,2024-12-30,rental,renter
328,44,50,4,1047898.97,31436.97,2025-01-02,sale,seller
329,131,10,47,639772.02,19193.16,2025-01-05,sale,seller
330,152,120,3,8959.83,716.79,2025-01-07,rental,owner
331,130,120,45,5536.36,442.91,2025-01-09,rental,renter
332,136,40,40,1396473.39,41894.2,2025-01-17,sale,seller
333,22,46,18,4616.05,369.28,2025-01-17,rental,renter
334,129,177,60,1584040.45,47521.21,2025-01-17,sale,seller
335,167,23,58,989193.61,29675.81,2025-01-18,sale,seller
336,115,101,9,962911.71,28887.35,2025-01-20,sale,buyer
337,97,166,24,742403.32,22272.1,2025-01-21,sale,buyer
338,136,63,37,1358219.37,40746.58,2025-01-25,sale,seller
339,16,89,49,1697245.74,50917.37,2025-01-28,sale,seller
340,17,139,6,6636.75,530.94,2025-01-29,rental,owner
341,92,121,7,794550.79,23836.52,2025-01-30,sale,seller
342,151,188,42,12029.61,962.37,2025-02-04,rental,owner
343,95,117,49,820798.8,24623.96,2025-02-05,sale,buyer
344,165,137,32,3532.2,282.58,2025-02-07,rental,owner
345,60,197,41,4477.25,358.18,2025-02-08,rental,owner
346,64,97,21,4823.4,385.87,2025-02-09,rental,renter
347,88,28,58,5557.47,444.6,2025-02-11,rental,owner
348,46,148,41,4922.33,393.79,2025-02-12,rental,owner
349,179,9,8,1093303.02,32799.09,2025-02-15,sale,buyer
350,115,174,24,1429294.93,42878.85,2025-02-16,sale,seller
351,41,12,23,3510.55,280.84,2025-02-19,rental,owner
352,118,72,29,2589.58,207.17,2025-02-24,rental,renter
353,78,99,25,1038818.93,31164.57,2025-02-25,sale,seller
354,172,26,13,886849.95,26605.5,2025-02-25,sale,seller
355,72,198,53,764683.41,22940.5,2025-02-25,sale,buyer
356,76,171,29,5602.1,448.17,2025-03-01,rental,owner
357,124,90,35,512753.83,15382.61,2025-03-02,sale,seller
358,20,6,38,1201409.87,36042.3,2025-03-03,sale,buyer
359,109,120,50,949134.52,28474.04,2025-03-05,sale,seller
360,153,36,35,1613301.69,48399.05,2025-03-06,sale,buyer
361,32,125,53,1925029.71,57750.89,2025-03-06,sale,seller
362,78,86,51,5306.4,424.51,2025-03-07,rental,owner
363,18,167,38,2317789.3,69533.68,2025-03-07,sale,seller
364,13,148,5,8104.08,648.33,2025-03-07,rental,owner
365,148,102,9,1798041.4,53941.24,2025-03-10,sale,buyer
366,51,53,34,566725.18,17001.76,2025-03-10,sale,seller
367,14,160,35,1701824.66,51054.74,2025-03-12,sale,buyer
368,136,141,56,3949.24,315.94,2025-03-12,rental,owner
369,29,63,41,1221977.93,36659.34,2025-03-12,sale,seller
370,160,190,34,3368518.88,101055.57,2025-03-14,sale,buyer
371,149,60,38,12639.71,1011.18,2025-03-14,rental,owner
372,138,128,3,3944.31,315.54,2025-03-15,rental,renter
373,141,79,18,761816.51,22854.5,2025-03-18,sale,buyer
374,149,140,12,14892.82,1191.43,2025-03-20,rental,renter
375,143,117,50,594778.51,17843.36,2025-03-20,sale,buyer
376,161,106,31,3748675.91,112460.28,2025-03-20,sale,seller
377,116,165,11,488496.64,14654.9,2025-03-22,sale,buyer
378,116,164,53,557631.88,16728.96,2025-03-24,sale,seller
379,61,5,2,4541.21,363.3,2025-03-24,rental,owner
380,102,10,56,5959.45,476.76,2025-03-25,rental,renter
381,9,42,51,5745.91,459.67,2025-03-26,rental,renter
382,26,36,38,5694,455.52,2025-03-26,rental,renter
383,45,56,42,848497.97,25454.94,2025-03-26,sale,buyer
384,141,39,40,934990.93,28049.73,2025-03-30,sale,buyer
385,5,200,59,7528.55,602.28,2025-03-31,rental,owner
386,57,17,26,1461419.34,43842.58,2025-04-01,sale,seller
387,142,138,16,828822.59,24864.68,2025-04-02,sale,buyer
388,124,103,19,1165381.08,34961.43,2025-04-02,sale,buyer
389,83,63,47,790376.71,23711.3,2025-04-03,sale,seller
390,109,144,29,727350.65,21820.52,2025-04-04,sale,seller
391,81,122,2,499225.58,14976.77,2025-04-07,sale,seller
392,151,186,13,1990097.95,59702.94,2025-04-07,sale,buyer
393,61,159,28,554519.44,16635.58,2025-04-09,sale,seller
394,132,173,32,4302.07,344.17,2025-04-09,rental,owner
395,177,2,57,5119.67,409.57,2025-04-14,rental,owner
396,140,158,3,1459879.42,43796.38,2025-04-14,sale,seller
397,112,101,8,3893.51,311.48,2025-04-15,rental,owner
398,34,46,42,7399.7,591.98,2025-04-17,rental,owner
399,117,59,30,2754.81,220.38,2025-04-17,rental,renter
400,96,187,1,500725.45,15021.76,2025-04-18,sale,seller
401,66,62,35,3950.93,316.07,2025-04-19,rental,owner
402,109,61,20,5525.76,442.06,2025-04-19,rental,owner
403,155,88,21,7621.6,609.73,2025-04-20,rental,renter
404,81,184,34,4235.74,338.86,2025-04-22,rental,renter
405,82,154,24,1408754.78,42262.64,2025-04-22,sale,buyer
406,153,63,29,2845039.45,85351.18,2025-04-23,sale,buyer
407,155,164,58,2721430.44,81642.91,2025-04-23,sale,buyer
408,180,104,3,1052327.29,31569.82,2025-04-24,sale,buyer
409,122,144,49,550427.87,16512.84,2025-04-25,sale,seller
410,39,78,38,4486.66,358.93,2025-04-26,rental,renter
411,121,1,13,648652.24,19459.57,2025-04-26,sale,seller
412,125,103,57,1157920.82,34737.62,2025-04-27,sale,seller
413,102,181,56,3630.6,290.45,2025-04-29,rental,owner
414,21,42,59,1644443.47,49333.3,2025-04-29,sale,seller
415,38,151,60,5649.82,451.99,2025-04-30,rental,renter
416,1,67,39,1599625.34,47988.76,2025-04-30,sale,seller
417,171,189,10,667442.89,20023.29,2025-05-01,sale,seller
418,122,59,54,2619.32,209.55,2025-05-01,rental,owner
419,2,85,13,1747111.44,52413.34,2025-05-01,sale,seller
420,115,114,9,1015209.75,30456.29,2025-05-02,sale,buyer
421,171,101,50,749445,22483.35,2025-05-03,sale,buyer
422,21,107,59,4280.25,342.42,2025-05-03,rental,renter
423,173,57,43,1253708.48,37611.25,2025-05-05,sale,seller
424,61,73,12,3302.56,264.2,2025-05-06,rental,renter
425,135,106,7,1023645.19,30709.36,2025-05-08,sale,buyer
426,142,169,59,4889.3,391.14,2025-05-08,rental,renter
427,86,145,2,546671.93,16400.16,2025-05-12,sale,seller
428,154,146,27,2218102.06,66543.06,2025-05-12,sale,buyer
429,5,136,27,2558056.71,76741.7,2025-05-13,sale,buyer
430,163,24,51,1031332.6,30939.98,2025-05-13,sale,buyer
431,45,13,38,637953.84,19138.62,2025-05-13,sale,seller
432,75,107,27,504726.8,15141.8,2025-05-14,sale,buyer
433,61,77,30,1267434.37,38023.03,2025-05-15,sale,buyer
434,3,133,28,848991.74,25469.75,2025-05-15,sale,buyer
435,97,99,23,3148.93,251.91,2025-05-15,rental,renter
436,137,15,37,1280596.63,38417.9,2025-05-15,sale,seller
437,67,85,16,1026574.48,30797.23,2025-05-17,sale,seller
438,121,10,2,1090280.21,32708.41,2025-05-19,sale,seller
439,119,92,56,5784.42,462.75,2025-05-20,rental,owner
440,140,45,42,867273.29,26018.2,2025-05-20,sale,seller
441,106,6,25,1074696.03,32240.88,2025-05-20,sale,buyer
442,59,141,60,3518.29,281.46,2025-05-21,rental,owner
443,177,128,27,1397796.35,41933.89,2025-05-21,sale,buyer
444,73,186,12,2732.23,218.58,2025-05-23,rental,owner
445,4,34,5,8251.43,660.11,2025-05-24,rental,owner
446,105,46,1,4592.14,367.37,2025-05-27,rental,owner
447,55,87,15,1234186.59,37025.6,2025-05-27,sale,buyer
